date_afran,close_afran,date_yaghoot,close_yaghoot,date_goldMofid,close_goldMofid,date_nahal,close_nahal,date_sahar,close_sahar,date_agas,close_agas,date_sarv,close_sarv,date_atlas,close_atlas
20220511,16275,20220511,14758,20220511,35515.88,20220511,19143.23,20220511,18714.59,20220511,88021.33,20220511,7104.74,20220511,27875.67
20220514,16302,20220514,14780,20220514,36005.64,20220514,19260,20220514,18933.17,20220514,90414.42,20220514,7302.25,20220514,28268.07
20220515,16312,20220515,14793,20220515,36224.11,20220515,19497.51,20220515,19029.98,20220515,89886.31,20220515,7257.65,20220515,28150.09
20220516,16323,20220516,14800,20220516,36186.51,20220516,19531.16,20220516,19067.91,20220516,90832.88,20220516,7339.57,20220516,28306.53
20220517,16332,20220517,14800,20220517,36021.9,20220517,19621.21,20220517,18912.21,20220517,91389.16,20220517,7507.95,20220517,28467.64
20220518,16342,20220518,14807,20220518,35743.49,20220518,19644.96,20220518,18822.38,20220518,89406.48,20220518,7411.47,20220518,28126.34
20220521,16370,20220521,14828,20220521,36623.43,20220521,19664.76,20220521,18924.19,20220521,88804.94,20220521,7323.18,20220521,27855.79
20220522,16381,20220522,14834,20220522,37208.71,20220522,19684.55,20220522,18795.44,20220522,89238.5,20220522,7307.71,20220522,28112.42
20220523,16392,20220523,14846,20220523,36904.89,20220523,20085.34,20220523,18883.27,20220523,87360.44,20220523,7090.18,20220523,27478.21
20220524,16403,20220524,14851,20220524,37264.6,20220524,20630.63,20220524,19591.89,20220524,86906.76,20220524,7215.78,20220524,27385.58
20220525,16414,20220525,14862,20220525,37071.54,20220525,20812.72,20220525,19979.13,20220525,87776.89,20220525,7354.13,20220525,27573.33
20220528,16441,20220528,14887,20220528,37757.41,20220528,21171.95,20220528,20504.11,20220528,86561.73,20220528,7282.23,20220528,27334.19
20220529,16452,20220529,14888,20220529,38165.88,20220529,21291.69,20220529,21450.27,20220529,85662.44,20220529,7294.06,20220529,26939.91
20220530,16462,20220530,14894,20220530,38831.43,20220530,21294.66,20220530,20731.67,20220530,86151.32,20220530,7325,20220530,27133.42
20220531,16472,20220531,14901,20220531,38779.61,20220531,21342.16,20220531,20856.43,20220531,86278.06,20220531,7331.38,20220531,27327.14
20220601,16484,20220601,14909,20220601,38465.63,20220601,21333.26,20220601,20781.57,20220601,86048.71,20220601,7391.45,20220601,27147.14
20220606,16528,20220606,14946,20220606,37970.79,20220606,21292.68,20220606,20868.4,20220606,84480.48,20220606,7265.84,20220606,26494.14
20220607,16539,20220607,14953,20220607,38352.84,20220607,21244.19,20220607,21053.04,20220607,84229,20220607,7226.71,20220607,26615.2
20220608,16550,20220608,14963,20220608,38561.14,20220608,20561.35,20220608,20258.59,20220608,84466.39,20220608,7273.13,20220608,26863.38
20220611,16576,20220611,14985,20220611,39731.7,20220611,20780.06,20220611,19989.11,20220611,84069.05,20220611,7228.53,20220611,26770.85
20220612,16585,20220612,14993,20220612,41793.37,20220612,21114.55,20220612,20839.46,20220612,86071.85,20220612,7346.85,20220612,27219.2
20220613,16596,20220613,15000,20220613,41007.92,20220613,21102.67,20220613,21162.83,20220613,88902.52,20220613,7496.12,20220613,28009.05
20220614,16607,20220614,15008,20220614,40077.17,20220614,21226.38,20220614,21006.14,20220614,88350.27,20220614,7487.01,20220614,28086.98
20220615,16618,20220615,15023,20220615,39268.35,20220615,21246.17,20220615,20776.58,20220615,87029.49,20220615,7414.2,20220615,27772.51
20220618,16644,20220618,15038,20220618,40239.75,20220618,21221.43,20220618,20875.39,20220618,85892.79,20220618,7336.84,20220618,27493.32
20220619,16655,20220619,15047,20220619,40453.13,20220619,21303.57,20220619,21215.73,20220619,85921.97,20220619,7305.89,20220619,27476.62
20220620,16664,20220620,15053,20220620,39996.9,20220620,21269.92,20220620,20917.31,20220620,86493.33,20220620,7333.2,20220620,27663.18
20220621,16675,20220621,15061,20220621,40028.4,20220621,20847.35,20220621,20720.69,20220621,86101.02,20220621,7274.04,20220621,27371.76
20220622,16684,20220622,15077,20220622,40525.27,20220622,20957.2,20220622,20623.88,20220622,85780.13,20220622,7225.8,20220622,27196.64
20220625,16713,20220625,15092,20220625,39290.71,20220625,20781.05,20220625,20033.03,20220625,84671.6,20220625,7138.42,20220625,26692.53
20220626,16722,20220626,15102,20220626,37538.94,20220626,20962.15,20220626,19763.55,20220626,82692.95,20220626,7001.9,20220626,26438.29
