date,asamid,asam,agas,ayar,close_overal
1/25/2023,0.000760161,-0.019356233,-0.023935269,-0.01297577,-0.020932318
1/28/2023,0.001636386,0.011560822,-0.009406034,0.082730232,-0.007393283
1/29/2023,0.000641801,-0.001897127,-0.033774565,0.045921153,-0.036851065
1/30/2023,0.000583151,0.001958265,0.005609603,-0.005035859,-0.001629595
1/31/2023,0.000641016,0.011851,0.011977316,-0.053437013,0.010898712
2/1/2023,0.000873821,0.01350196,-0.006938492,0.005889479,0.000444538
2/5/2023,0.002151624,-0.006518187,-0.014645544,-0.054133093,-0.011012326
2/6/2023,0.000580679,-0.001080497,0.002702182,0.018263938,-0.001514012
2/7/2023,0.000580342,0.017798619,0.020414942,-0.00576322,0.012058993
2/8/2023,0.000928079,0.002004009,-0.001207318,-0.002396309,0.001005074
2/12/2023,0.002084745,0.000706339,-0.011782115,0.052225564,-0.007798407
2/13/2023,0.000578261,-0.002651349,0.000446346,-6.19E-05,0.001486561
2/14/2023,0.000577927,0.003239585,-0.005326452,0.018525047,-0.006685506
2/15/2023,0.000808883,-0.015347995,-0.006225192,0.044174056,-0.008597994
2/19/2023,0.002191426,0.001133956,0.01915114,0.088075423,0.005605735
2/20/2023,0.000633374,0.048719152,0.053659263,-0.014385216,0.038945788
2/21/2023,0.000576074,0.001305817,0.016924558,-0.04405932,0.040054537
2/22/2023,0.000690046,0.035887286,-0.009249222,0.038896333,-0.001702709
2/25/2023,0.001723323,0.004205933,0.084407309,0.092768791,0.048421716
2/26/2023,0.000688957,0.000762818,0.029934102,0.031782762,0.036987775
2/27/2023,0.000573386,-0.005406747,-0.028749959,-0.06988167,0.002642186
2/28/2023,0.000630288,0.008615102,0.006858527,-0.01634056,0.015927982
3/1/2023,0.000629891,0.00681747,-0.023473025,-0.067177074,-0.008933824
3/4/2023,0.001659502,-0.017625436,-0.013830985,0.043320337,-0.01859432
3/5/2023,0.000742569,0.01848783,0.00997313,-0.048634194,0.004322185
3/6/2023,0.000570964,-0.000215529,-0.007994889,-0.044676065,-0.005743442
3/7/2023,0.000799144,0.028527073,0.028439912,-0.040240317,0.017729694
3/11/2023,0.002165078,-0.0092603,-0.010671629,-0.089951299,-0.0004797
3/12/2023,0.000512126,-0.021424621,-0.021662785,0.034705076,-0.018635755
3/13/2023,0.000682237,0.00479488,0.00991757,0.025390502,-0.000877966
3/14/2023,0.000568838,-0.00306823,0.009497617,0.066148468,0.000760586
3/15/2023,0.000624668,0.037095181,0.031856459,0.008318759,0.021088551
3/18/2023,0.001758433,0.021380196,0.043302211,0.066555378,0.045494017
3/19/2023,0.004016403,0.013334878,0.009442031,0.025939274,0.028304805
3/25/2023,0.000338859,0.009537912,0.014937575,0.058160213,0.019110599
3/26/2023,0,0,-0.002189631,-0.046539232,0.010195198
3/27/2023,0,-0.00144232,0,0,0.00515713
3/28/2023,0.00061991,0.020200716,0.019047096,0.011781161,0.007467766
3/29/2023,0.001013571,0.010480445,0.013511693,0.03412388,0.01664011
4/3/2023,0.002753971,0.012566715,-0.005295374,-0.014976454,0.005392149
4/4/2023,0.000561104,0.006603506,-0.001628144,-0.048237216,0.01385349
4/5/2023,0.000728965,0.010363275,0.007028174,0.039947327,0.008626246
4/8/2023,0.001792115,0.014977024,0.041787855,-0.008768744,0.02992059
4/9/2023,0.000559378,0.00428424,0.012826196,-0.008032998,0.004646637
4/10/2023,0.000670841,0.015010433,-0.017484818,-0.033126689,-0.010145921
4/11/2023,0.000837919,-0.002266752,0.00761124,0.031551092,-0.004752666
4/15/2023,0.00211959,0.013165797,0.037225582,-0.014765316,0.033393493
4/16/2023,0.000724093,0.031524709,-0.00223487,-0.003798063,0.009326735
4/17/2023,0.000612285,0.032621798,0.005396723,0.019106079,0.006231219
4/18/2023,0.000500681,-0.02174368,0.019162991,-0.002548069,0.01566756
4/19/2023,0.001389468,0.003599901,-0.004681738,0.007971767,-0.000561213
4/24/2023,0.000444222,0.009452108,0.001740036,-0.006289572,0.001015605
4/25/2023,0.000610484,0.012381712,0.016813908,-0.001708097,0.018033156
4/26/2023,0.000942742,0.02144921,-0.002262866,0.033782394,-0.00149633
4/29/2023,0.001716834,-0.00682372,0.034317749,0.07824385,0.030505463
4/30/2023,0.000553189,-0.005335111,0.018605539,0.060604189,0.016587444
5/1/2023,0.000663423,-0.001286334,-0.000741423,0.05447093,0.000524276
5/2/2023,0.000662983,0.006497695,0.017463657,-0.04594177,0.015080147
5/3/2023,0.000772926,0.008380282,-0.002886159,-0.026618603,-0.001453764
5/6/2023,0.001764447,0.005832823,0.012541898,0.005544043,0.008143992
5/7/2023,0.000660866,-0.017187699,-0.053722174,-0.07568132,-0.038220242
5/8/2023,0.00060541,-0.002444128,-0.067570324,0.016994968,-0.05291258
5/9/2023,0.00066003,0.01187447,0.035207844,0.019595406,-0.003709763
5/10/2023,0.000934297,-0.003613373,-0.023212961,-0.038222405,-0.012272428
5/13/2023,0.001646633,-0.029810582,-0.045993891,-0.051032291,-0.028360103
5/14/2023,0.000548276,0.017143277,0.058123974,0.009577218,0.03194976
5/15/2023,0.00109565,0.004364732,-0.0132462,-0.029638338,0.006747417
5/17/2023,0.001039757,0.005872639,0.018581603,-0.033398474,0.008633939
5/20/2023,0.00174873,-0.009238037,-0.011947591,0.011959331,-0.010109925
5/21/2023,0.000654986,-0.00158274,0.007203176,0.049236592,0.002051736
5/22/2023,0.000545494,0.011974702,0.007520936,0.021748287,0.006838492
5/23/2023,0.000763192,0.013987958,0.007313886,-0.021125986,0.005287942
5/24/2023,0.00076261,0.008170905,0.006240013,-0.009262393,0.006486727
5/27/2023,0.001795284,-0.014363632,-0.020440458,-0.03432558,-0.014921594
5/28/2023,0.00054339,-0.003684904,-0.033133697,-0.02728454,-0.023734133
5/29/2023,0.000597388,-0.001806463,0.007012988,0.026413397,0.008111363
5/30/2023,0.000705544,0.004305491,0.009679969,-0.012329031,0.005711194
5/31/2023,0.000976086,0.004735089,-0.014878683,-0.026488522,-0.007625793
6/3/2023,0.001570582,-0.002119854,0.005295979,0.001999352,0.003797421
6/6/2023,0.001946262,0.008452586,0.006123572,0.001119511,0.004318501
6/7/2023,0.000701887,0.001455722,-0.003239852,-0.033375949,-0.000484929
6/10/2023,0.001887251,-0.007340599,-0.041141272,-0.010931215,-0.032591202
6/11/2023,0.000592401,0.001017108,0.002778987,-0.027094884,-0.003095359
6/12/2023,0.00059205,-0.002565096,-0.031721943,-0.015495364,-0.028850032
6/13/2023,0.000699244,0.001751492,0.010372108,0.048715239,0.004549126
6/14/2023,0.000645023,0.008832763,0.016111453,-0.006068628,0.012408418
6/17/2023,0.001932575,0.003704304,0.000926874,0.002940579,0.000319319
6/18/2023,0.000643363,0.005890502,-0.00627118,-0.022562582,-0.00915247
6/19/2023,0.000642949,-0.001559408,0.000250664,-0.023951412,0.000605203
6/20/2023,0.000642536,0.002597664,0.004353083,0.012360012,0.001256519
6/21/2023,0.001444198,0.004857471,0.00670734,-0.007016958,0.003200304
6/24/2023,0.001281983,-0.000675448,-0.005109976,0.016968873,-0.005201015
6/25/2023,0.000693722,0.005944143,0.011395517,0.001524522,0.012400916
6/26/2023,0.00058662,-0.000830056,0.001676666,-0.008529729,0.002976064
6/27/2023,0.000692835,0.007720525,-0.006553407,0.001679942,-0.012798342
6/28/2023,0.000692355,-0.016896906,-0.007134043,-0.003203017,-0.006844466
7/1/2023,0.001914792,-0.000239473,-0.003285228,0.018054278,-0.004419361
7/2/2023,0.00063745,0.002710677,0.01089874,0.019567223,0.006259628
7/3/2023,0.000690113,0.003259015,0.020773747,0.00360049,0.011992636
7/4/2023,0.000636605,0.008416194,0.013329318,-0.014254289,0.008522231
7/5/2023,0.001589741,0.006901176,-0.002446425,-0.00485847,0.000256314
