date,close_afran,close_yaghoot,close_goldMofid,close_nahal,close_sahar,close_agas,close_sarv,close_atlas
2022-12-03,18353,16369,43311.43,13858.65,18326.35,84770.18,6999.17,26829.19
2022-12-04,18364,16375,44068.43,13580.57,18168.66,84532.79,6993.7,26756.54
2022-12-05,18376,16392,44722.8,13655.78,18384.24,84666.57,7011.91,26813.39
2022-12-06,18387,16418,44224.91,13463.79,18432.14,84575.03,6980.96,26743.81
2022-12-07,18403,16443,43795.1,13088.73,18181.63,84326.57,6929.08,26576.04
2022-12-10,18432,16457,45036.77,12942.26,18368.27,83172.78,6833.52,26249.64
2022-12-11,18444,16468,45769.39,13166.91,18425.16,83792.43,6949.11,26437.69
2022-12-12,18455,16485,47173.64,13197.58,18377.25,85605.1,7056.51,27095.36
2022-12-13,18466,16497,47562.81,13263.89,18625.77,88769.74,7375.06,28099.2
2022-12-14,18480,16513,47570.94,13243.11,18614.79,90122.7,7507.04,28589.1
2022-12-17,18508,16528,47447.99,13516.24,18585.84,89558.38,7435.13,28407.41
2022-12-18,18519,16536,47312.85,13692.39,18714.59,91023.0,7617.17,29117.76
2022-12-19,18530,16540,46809.88,14214.91,19720.64,90969.69,7578.03,29062.2
2022-12-20,18542,16557,46925.71,14642.43,20256.59,89636.84,7499.76,28600.23
2022-12-21,18558,16578,46660.51,14172.36,19495.08,89853.11,7508.86,28658.67
2022-12-24,18587,16583,48378.74,14174.34,19531.01,93457.34,7705.45,29954.43
2022-12-25,18600,16603,49425.33,14080.33,19514.04,94606.1,7921.16,30496.2
2022-12-26,18612,16619,50916.97,14070.43,19613.84,94727.82,7878.38,30761.58
2022-12-28,18637,16636,54016.08,14287.16,20595.93,98761.57,8344.39,32420.6
2022-12-31,18670,16646,48721.17,14194.13,19852.38,93683.67,7906.6,30522.54
2023-01-01,18684,16664,48765.88,14181.27,19511.04,93241.07,7814.67,29843.11
2023-01-02,18698,16673,50235.16,14302.99,19917.25,95702.56,8081.35,30722.42
2023-01-03,18712,16672,48980.27,14408.88,19624.82,94884.74,8067.7,30509.72
2023-01-04,18726,16702,49283.07,14293.09,19537.99,93596.16,8042.21,30128.56
2023-01-07,18761,16717,50715.78,14281.22,19416.23,95902.74,8204.22,30738.12
2023-01-08,18774,16727,52578.3,14385.13,19638.8,98451.75,8418.11,31473.01
2023-01-09,18787,16738,52201.32,14266.37,19756.57,98558.38,8435.41,31490.11
2023-01-10,18800,16747,52326.3,14303.98,19785.51,99340.99,8639.28,31904.67
2023-01-11,18817,16751,52455.35,14227.78,19767.55,97532.34,8489.11,31152.48
2023-01-14,18847,16780,53878.91,14029.85,19604.86,97765.71,8404.46,31057.96
2023-01-16,18869,16798,54818.81,14107.04,19841.4,101455.44,8674.78,31997.3
2023-01-17,18882,16802,57175.15,14118.92,19862.36,101141.59,8691.16,32131.58
