config,population,generations,init_mut,high_mut,base_seed,window_index,best_fitness,generations_run,runtime_s
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,2,30,0.8180461289959906,42,1.6087259159999974
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,2,31,0.8048487515344496,28,1.562721124999996
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,2,32,0.8,18,1.4364523330000054
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,2,33,0.8220033387968428,34,1.6492273339999883
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,2,34,0.8170180365517147,20,1.379464999999982
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,2,35,0.8421665899267207,26,1.4970378749999895
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,0,0,0.9,18,1.7831111670000155
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,0,1,0.9,18,1.7031832920000056
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,0,2,0.8110031760647876,30,2.022379208000018
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,0,3,0.8255929953669142,30,2.3509249580000073
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,0,4,0.8187082726245051,30,2.0739817500000015
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,0,5,0.8006074555464536,27,2.096273583999988
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,0,6,0.8210375131235468,22,1.9980845839999972
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,0,7,0.8159300281242848,23,1.952711542000003
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,0,8,0.8120113157199844,30,2.1904861250000067
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,0,9,0.9,18,1.706212834000013
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,0,10,0.9,18,1.704331790999987
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,0,11,0.8460908120083788,30,2.2623096669999825
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,0,12,0.8691932381440131,18,1.8172127079999996
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,0,13,0.8136673745039434,30,1.9336082500000202
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,0,14,0.8322381074606546,29,2.074402582999994
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,0,15,0.8283103931166501,21,1.8047939579999763
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,0,16,0.9,18,1.6470416669999963
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,0,17,0.9,18,1.7278877499999794
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,0,18,0.8445474554890371,30,2.1261487499999987
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,0,19,0.8582554789680134,27,1.9293647499999906
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,0,20,0.8008387325861372,30,2.1435920000000124
